wind_farm_name;LAT;LON;area;country;commissioning_year;installed_capacity_MW;turbine_model;foundation_type;water_depth_m;distance_from_shore_km;total_project_budget;turbine_costs;foundation_costs;array_cable_costs;export_cable_costs;offshore_substation_costs;offshore_installation_costs;OPEX_per_MWh;inflation_rate;capacity_factor;WACC;discount_rate;project_lifetime_years
Samso;55.72;10.63;5;Denmark;2003;23;Bonus 2.3MW;Monopile;12;3.5;null;null;null;null;null;null;null;null;null;null;null;null;25
Sprogo;55.341;10.952;1.2;Denmark;2009;21;Vestas V90-3.0MW;Gravity-based;6-16;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Horns Rev 2;55.6;7.585;33;Denmark;2009;209;Siemens SWT-2.3-93;Monopile;10;32;USD 1 billion;null;null;null;null;null;null;null;null;0.50;null;null;null
Avedore Holme;55.602;12.482;0.1;Denmark;2009;10.8;Siemens SWT-3.6-120;null;null;0;null;null;null;null;null;null;null;null;null;null;null;null;null
Rodsand II;54.558;11.545;34;Denmark;2010;207;Siemens SWT-2.3-93;Gravity-based;5-13;8.8;EUR 450 million;null;null;null;null;null;null;null;null;null;null;null;null
Anholt;56.598;11.205;88;Denmark;2013;400;Siemens SWP-3.6-120;Monopile;15-19;15;DKK 10 billion;null;null;null;null;null;null;null;null;0.466;null;null;null
Horns Rev 3;55.705;7.68;44;Denmark;2019;407;MHI Vestas V164-8.3MW;Monopile;11-19;25-30;GBP 1 billion;null;null;null;null;null;null;null;null;0.34;null;null;null
Kriegers Flak;55.02;12.82;132;Denmark;2021;605;Siemens Gamesa SG 8.4-167 DD;Monopile;15-25;15-40;EUR 1.3 billion;null;null;null;null;null;null;null;null;0.46;null;null;null
Vesterhav Nord;56.618;8.046;15;Denmark;2024;176;Siemens Gamesa SG 8.0-167 DD;Monopile;20;5.5-10;EUR 769 million (combined N+S);null;null;null;null;null;null;null;null;0.52;null;null;null
Vesterhav Syd;56.078;8.012;14;Denmark;2024;168;Siemens Gamesa SG 8.0-167 DD;Monopile;20;5.5-10;EUR 769 million (combined N+S);null;null;null;null;null;null;null;null;0.52;null;null;null
Thor;56.33;7.68;285;Denmark;2027;1080;Siemens Gamesa SG 14-236 DD;Monopile;27;22;DKK 15.5 billion;null;null;null;null;null;null;null;null;null;null;null;null
Aflandshage;55.45;12.43;42;Denmark;2026;286;Siemens Gamesa 11MW;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hesselo;56.31;11.75;247;Denmark;2029;1000-1200;null;null;null;30;null;null;null;null;null;null;null;null;null;null;null;null;null
Bornholm Energy Island;54.7;14.65;250;Denmark;2030;3000;null;null;null;15;EUR 9 billion;null;null;null;null;null;null;null;null;null;null;null;null
Bockstigen;57.036;18.15;0.5;Sweden;1998;2.75;Wind World 550kW;Monopile;6;4;null;null;null;null;null;null;null;null;null;null;null;null;null
Utgrunden I;56.37;16.27;1;Sweden;2000;10.5;Enron Wind 1.5MW;Monopile;7-10;8;null;null;null;null;null;null;null;null;null;null;null;null;null
Lillgrund;55.51;12.78;10;Sweden;2007;110;Siemens SWT-2.3-93;Gravity-based;4-8;7;SEK 1.8 billion;null;null;null;null;null;null;null;null;0.34;null;null;null
Karehamn;56.96;16.98;7;Sweden;2013;48;Vestas V112-3.0MW;Gravity-based;20.5;7;EUR 120 million;null;null;null;null;null;null;null;null;0.47;null;null;null
Hywind Scotland;57.48;-1.35;4;Norway;2017;30;Siemens SWT-6.0-154;Floating spar buoy;95-120;29;GBP 264 million;null;null;null;null;null;null;null;null;0.54;null;null;null
Hywind Tampen;61,329972;2,7;;Norway;2023;88;Siemens Gamesa SG 8.0-167 DD;Floating concrete spar buoy;260-300;140;NOK 7.4 billion;null;null;null;null;null;null;null;null;0.584;null;null;null
Utsira Nord;59,2;4,5;;Norway;null;1500;null;Floating;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sorlige Nordsjo II;56,817;5,25;;Norway;null;3000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tahkoluoto;61,36;21,26;;Finland;2017;42;Siemens SWT-4.0-130;Gravity-based;8-15;14;null;null;null;null;null;null;null;null;null;0.43;null;null;null
Korsnas;62,93;21,18;;Finland;2034;2500;null;null;null;null;EUR 2-3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Egmond aan Zee (OWEZ);52,5894;4,41;;Netherlands;2007;108;Vestas V90-3.0MW;Monopile;12-20;10-18;EUR 200 million;null;null;null;null;null;null;null;null;null;null;null;20
Prinses Amalia;52,5894;4.2064;;Netherlands;2008;120;Vestas V80-2.0MW;Monopile;19-24;23;EUR 383 million;null;null;null;null;null;null;null;null;null;null;null;20
Luchterduinen;52,4167;4,17;;Netherlands;2015;129;Vestas V112-3.0MW;Monopile;18-24;23;EUR 450 million;null;null;null;null;null;null;null;null;null;null;null;null
Gemini;54,0333;6,02;;Netherlands;2017;600;Siemens SWT-4.0-130;Monopile;28-36;85;EUR 2.8 billion;null;null;null;null;null;null;null;null;null;null;null;null
Borssele I and II;51,745;3,06;;Netherlands;2020;752;Siemens Gamesa SG 8.0-167 DD;Monopile;14-40;23;null;null;null;null;null;null;null;null;null;null;null;null;null
Borssele III and IV;51,705;2,98;;Netherlands;2021;731.5;MHI Vestas V164-9.5MW;Monopile;16-38;22;EUR 1.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Borssele V;51,71;3,00;;Netherlands;2021;19;MHI Vestas V164-9.5MW;Monopile;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null
Hollandse Kust Zuid I-IV;52,3667;4,07;;Netherlands;2023;1529;Siemens Gamesa SG 11.0-200 DD;Monopile;17-28;18-36;null;null;null;null;null;null;null;null;null;null;null;null;null
Hollandse Kust Noord;52,65389;4,25;;Netherlands;2023;759;Siemens Gamesa SG 11.0-200 DD;Monopile;18-24;18.5;EUR 1.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Hollandse Kust West VI;52,683333;3,77;;Netherlands;2026;760;Vestas V236-15.0MW;Monopile;null;53;null;null;null;null;null;null;null;null;null;null;null;null;null
Hollandse Kust West VII;52,617;3,77;;Netherlands;2028;795;Vestas V236-15.0MW;Monopile;null;53;null;null;null;null;null;null;null;null;null;null;null;null;null
IJmuiden Ver Alpha;52,8;3,50;;Netherlands;2029;2000;null;null;null;62;null;null;null;null;null;null;null;null;null;null;null;null;null
IJmuiden Ver Beta;52,9;3,80;;Netherlands;2029;2000;null;null;null;62;null;null;null;null;null;null;null;null;null;null;null;null;null
IJmuiden Ver Gamma-A;53,883;3,50;;Netherlands;null;1000;null;null;null;62;null;null;null;null;null;null;null;null;null;null;null;null;null
IJmuiden Ver Gamma-B;53,125;3,44;;Netherlands;null;1000;null;null;null;62;null;null;null;null;null;null;null;null;null;null;null;null;null
Nederwiek I-A;53,085;3,44;;Netherlands;null;1000;null;null;null;95;null;null;null;null;null;null;null;null;null;null;null;null;null
Nederwiek I-B;52,955;3,78;;Netherlands;null;1000;null;null;null;100-120;null;null;null;null;null;null;null;null;null;null;null;null;null
Ten noorden van de Waddeneilanden I;53,883;4,46;;Netherlands;2033;700;null;null;null;56;null;null;null;null;null;null;null;null;null;null;null;null;null
Doordewind I;54,2472;4,11;;Netherlands;2032;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Doordewind II;54,2472;4,11;;Netherlands;null;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
C-Power;51,55167;2,97;;Belgium;2013;325;Senvion 5M / Senvion 6.15M;Gravity-based / Jacket;12-27;30;EUR 1.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Belwind;51,67;2,80;;Belgium;2010;171;Vestas V90-3.0MW / Alstom Haliade 150-6MW;Monopile;25-30;46;EUR 614 million;null;null;null;null;null;null;null;null;null;null;null;null
Northwind;51,619;2,90;;Belgium;2014;216;Vestas V112-3.0MW;Monopile;16-29;37;EUR 883 million;null;null;null;null;null;null;null;null;null;null;null;null
Nobelwind;51,66333333;2,83;;Belgium;2017;165;MHI Vestas V112-3.3MW;Monopile;26-38;47;EUR 655 million;null;null;null;null;null;null;null;null;null;null;null;null
Rentel;51,59111;2,94;;Belgium;2018;309;Siemens SWT-7.0-154;Monopile;22-36;34;EUR 1.1 billion;null;null;null;null;null;null;null;null;null;null;null;null
Norther;51,528056;3,02;;Belgium;2019;370;MHI Vestas V164-8.4MW;Monopile;33;23;EUR 1.2 billion;null;null;null;null;null;null;null;null;0.431;null;null;null
Northwester 2;51,6875;2,76;;Belgium;2020;219;MHI Vestas V164-9.5MW;Monopile;40;52;EUR 700 million;null;null;null;null;null;null;null;null;null;null;null;25
SeaMade;51,721;2,79;;Belgium;2020;487;Siemens Gamesa SG 8.0-167 DD;Monopile;38-40;40-54;EUR 1.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Princess Elisabeth Zone Lot 1;51,62;2,49;;Belgium;2029;700;null;null;null;45;null;null;null;null;null;null;null;null;null;null;null;null;null
Princess Elisabeth Zone Lot 2;51,46;2,47;;Belgium;null;1225-1400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Princess Elisabeth Zone Lot 3;51,43;2,40;;Belgium;null;1225-1400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Saint-Nazaire;47,13;-2,78;;France;2022;480;GE Haliade 150-6MW;Monopile;12-25;12-20;EUR 2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Saint-Brieuc;48,72;-2,76;;France;2024;496;Siemens Gamesa SG 8.0-167 DD;Jacket;30;16.3;EUR 2.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Fecamp;49,85;0,18;;France;2024;497;Siemens Gamesa SWT-7.0-154;Gravity-based;25-30;13-24;EUR 2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Courseulles-sur-Mer;49,45;-0,51;;France;2027;448;Siemens Gamesa SWT-7.0-154;Monopile;22-31;16;EUR 2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Dieppe-Le Treport;50,12;1,3;;France;2027;500;Siemens Gamesa SG 8.0 MW;Jacket;14-25;15.5;EUR 2.7 billion;null;null;null;null;null;null;null;null;null;null;null;null
Yeu-Noirmoutier;46,95;-2,47;;France;2025;496;Siemens Gamesa SG 8.0 MW;Monopile;19-36;11.7;EUR 2-2.5 billion;null;null;null;null;null;null;null;null;null;null;null;20-25
